(6,3)	(6,4,36.04);(8,7,142.11);(9,7,208.88);(9,8,214.9);(9,9,231.02);(9,10,398.66);(10,6,223.17);(10,7,230.74);(10,8,237.05);(10,9,241.44);(10,10,348.66);(10,13,314.33);(10,14,338.62);(11,3,252.81);(11,4,219.02);(11,5,244.76);(11,7,250.41);(12,3,290.99);(12,4,249.53);(12,5,285.05);(12,6,278.84);(12,7,277.54);(12,8,296.07);(12,9,307.46);(12,10,307.81);(12,11,333.89);(12,13,328.96);(13,1,351.47);(13,2,311.01);(13,3,297.48);(13,4,343.93);(13,5,315.06);(13,6,319.39);(13,11,396.03);(13,12,378.37);(13,13,368.83);(13,14,342.13);(14,0,423.82);(14,1,417.52);(14,2,400.4);(14,3,358.58);(14,4,355.54);(15,8,380.39);(15,9,335.13);(15,10,349.13);(15,11,377.29);(15,15,235.01);(15,16,267.27);(15,17,294.99);(15,19,317.98);(15,21,298.59);(16,6,168.45);(16,7,179.87);(16,8,201.04);(16,9,215.47);(17,6,147.48);(17,7,159.38);(18,0,39.03);(18,1,22.46);(18,6,320.03);(18,7,314.9);(18,8,366.92);(18,9,383.19);		(6,4,36.04);(8,7,142.11);(17,7,159.38);(18,0,39.03);	(9,7,208.88);(9,8,214.9);(9,9,231.02);(9,10,398.66);(10,6,223.17);(10,7,230.74);(10,8,237.05);(10,9,241.44);(10,10,348.66);(10,13,314.33);(10,14,338.62);(11,3,252.81);(11,4,219.02);(11,5,244.76);(11,7,250.41);(12,3,290.99);(12,4,249.53);(12,5,285.05);(12,6,278.84);(12,7,277.54);(12,8,296.07);(12,9,307.46);(12,10,307.81);(12,11,333.89);(12,13,328.96);(13,1,351.47);(13,2,311.01);(13,3,297.48);(13,4,343.93);(13,5,315.06);(13,6,319.39);(13,11,396.03);(13,12,378.37);(13,13,368.83);(13,14,342.13);(14,0,423.82);(14,1,417.52);(14,2,400.4);(14,3,358.58);(14,4,355.54);(15,8,380.39);(15,9,335.13);(15,10,349.13);(15,11,377.29);(15,15,235.01);(15,16,267.27);(15,17,294.99);(15,19,317.98);(15,21,298.59);(16,6,168.45);(16,7,179.87);(16,8,201.04);(16,9,215.47);(17,6,147.48);(18,1,22.46);(18,6,320.03);(18,7,314.9);(18,8,366.92);(18,9,383.19);
(6,4)	(8,7,120.46);(9,7,198.41);(9,8,200.57);(9,9,215.18);(10,6,214.28);(10,7,220.1);(10,9,225.83);(10,14,340.17);(11,7,243.25);(12,7,272.38);(12,8,288.46);(12,9,297.86);(12,11,334.04);(12,13,328.13);(13,6,318.95);(13,7,335.46);(15,19,309.89);(15,21,294.34);(16,6,154.64);(16,7,164.42);(16,8,186.95);(17,6,131.24);(17,7,140.65);(18,0,22.01);(18,6,316.63);(18,7,308.7);	(6,3,36.04);		(6,3,36.04);(8,7,120.46);(9,7,198.41);(9,8,200.57);(9,9,215.18);(10,6,214.28);(10,7,220.1);(10,9,225.83);(10,14,340.17);(11,7,243.25);(12,7,272.38);(12,8,288.46);(12,9,297.86);(12,11,334.04);(12,13,328.13);(13,6,318.95);(13,7,335.46);(15,19,309.89);(15,21,294.34);(16,6,154.64);(16,7,164.42);(16,8,186.95);(17,6,131.24);(17,7,140.65);(18,0,22.01);(18,6,316.63);(18,7,308.7);
(7,3)	(8,7,114.72);(9,7,171.69);(9,8,180.32);(9,9,197.74);(9,10,362.09);(10,6,185.19);(10,7,193.73);(10,8,201.05);(10,9,207.95);(10,10,310.01);(10,13,274.45);(10,14,299.42);(11,3,212.44);(11,4,179.28);(11,5,204.78);(11,6,199.69);(11,7,211.76);(12,3,251.25);(12,4,209.35);(12,5,245);(12,6,239.17);(12,7,238.52);(12,8,258.45);(12,9,271.13);(12,10,272.49);(12,11,295.17);(12,13,290.45);(13,1,313.66);(13,2,271.86);(13,3,257.53);(13,4,304.48);(13,5,275.3);(13,6,280.34);(13,11,357.54);(13,12,339.93);(13,13,330.27);(13,14,302.9);(14,0,386.23);(14,1,379.46);(14,2,362.27);(14,3,319.67);(14,4,316.17);(15,8,343.34);(15,9,296.47);(15,10,309.69);(15,11,338.49);(15,15,194.61);(15,16,227.01);(15,17,255.39);(15,21,259.92);(16,6,133.52);(16,7,146.23);(16,8,166.33);(16,9,176.5);(17,6,114.59);(17,7,128.81);(18,2,18.57);(18,6,281.95);(18,7,277.55);(18,8,327.59);(18,9,343.97);	(18,1,18.84);	(8,7,114.72);(9,9,197.74);(10,9,207.95);(16,7,146.23);(17,6,114.59);(17,7,128.81);(18,1,18.84);	(9,7,171.69);(9,8,180.32);(9,10,362.09);(10,6,185.19);(10,7,193.73);(10,8,201.05);(10,10,310.01);(10,13,274.45);(10,14,299.42);(11,3,212.44);(11,4,179.28);(11,5,204.78);(11,6,199.69);(11,7,211.76);(12,3,251.25);(12,4,209.35);(12,5,245);(12,6,239.17);(12,7,238.52);(12,8,258.45);(12,9,271.13);(12,10,272.49);(12,11,295.17);(12,13,290.45);(13,1,313.66);(13,2,271.86);(13,3,257.53);(13,4,304.48);(13,5,275.3);(13,6,280.34);(13,11,357.54);(13,12,339.93);(13,13,330.27);(13,14,302.9);(14,0,386.23);(14,1,379.46);(14,2,362.27);(14,3,319.67);(14,4,316.17);(15,8,343.34);(15,9,296.47);(15,10,309.69);(15,11,338.49);(15,15,194.61);(15,16,227.01);(15,17,255.39);(15,21,259.92);(16,6,133.52);(16,8,166.33);(16,9,176.5);(18,2,18.57);(18,6,281.95);(18,7,277.55);(18,8,327.59);(18,9,343.97);
(7,4)	(7,5,27.87);(8,4,52.26);(8,5,57.41);(8,6,71.1);(8,7,89.82);(9,7,158.78);(9,8,163.44);(9,9,179.48);(9,10,374.21);(10,6,174.02);(10,7,180.73);(10,9,190.01);(10,10,317.99);(10,13,275.04);(10,14,298.44);(11,3,214.01);(11,4,173.18);(11,5,200.22);(11,7,202.48);(12,3,256.1);(12,4,206.38);(12,5,243.28);(12,6,234.09);(12,7,231.2);(12,8,248.38);(12,9,258.95);(12,10,257.39);(12,11,292.54);(12,13,286.77);(13,1,323.77);(13,2,278.74);(13,3,260.49);(13,4,304.93);(13,5,274.44);(13,6,277.33);(13,11,362.76);(13,12,346.69);(13,13,337.95);(13,14,308.61);(14,0,396.32);(14,1,388.21);(14,2,370.1);(14,3,325.99);(14,4,318.41);(15,8,354.74);(15,9,304.56);(15,10,313.43);(15,11,342.43);(15,15,192.94);(15,16,228.75);(15,17,251.62);(15,19,270.41);(15,21,253.21);(16,6,116.62);(16,7,127.81);(16,8,149.54);(16,9,167.71);(17,6,94.78);(17,7,106.84);(18,3,25.14);(18,4,42.1);(18,6,275.71);(18,7,268.56);(18,8,328.7);(18,9,345.21);	(18,0,20.57);	(7,5,27.87);(8,7,89.82);(17,7,106.84);(18,0,20.57);	(8,4,52.26);(8,5,57.41);(8,6,71.1);(9,7,158.78);(9,8,163.44);(9,9,179.48);(9,10,374.21);(10,6,174.02);(10,7,180.73);(10,9,190.01);(10,10,317.99);(10,13,275.04);(10,14,298.44);(11,3,214.01);(11,4,173.18);(11,5,200.22);(11,7,202.48);(12,3,256.1);(12,4,206.38);(12,5,243.28);(12,6,234.09);(12,7,231.2);(12,8,248.38);(12,9,258.95);(12,10,257.39);(12,11,292.54);(12,13,286.77);(13,1,323.77);(13,2,278.74);(13,3,260.49);(13,4,304.93);(13,5,274.44);(13,6,277.33);(13,11,362.76);(13,12,346.69);(13,13,337.95);(13,14,308.61);(14,0,396.32);(14,1,388.21);(14,2,370.1);(14,3,325.99);(14,4,318.41);(15,8,354.74);(15,9,304.56);(15,10,313.43);(15,11,342.43);(15,15,192.94);(15,16,228.75);(15,17,251.62);(15,19,270.41);(15,21,253.21);(16,6,116.62);(16,7,127.81);(16,8,149.54);(16,9,167.71);(17,6,94.78);(18,3,25.14);(18,4,42.1);(18,6,275.71);(18,7,268.56);(18,8,328.7);(18,9,345.21);
(7,5)	(8,5,47.47);(8,6,52.94);(8,7,67.85);(9,7,147.07);(9,8,148.12);(9,9,162.79);(9,10,381.57);(10,6,163.59);(10,7,168.59);(10,8,172.77);(10,9,173.47);(10,10,322.27);(10,13,273.66);(10,14,295.97);(11,3,213.86);(11,4,167.21);(11,5,195.11);(11,7,193.26);(12,4,202.55);(12,5,240.16);(12,7,223.47);(12,8,238.38);(12,9,247.23);(12,11,288.95);(12,13,282.39);(13,1,329.72);(13,2,282.39);(13,3,261.08);(13,4,303.46);(13,5,271.93);(13,6,273.34);(13,11,365.13);(13,12,350.24);(13,13,342);(13,14,311.17);(14,0,401.9);(14,1,392.86);(14,2,374.35);(14,3,329.06);(14,4,318.31);(15,8,361.59);(15,9,309.02);(15,10,314.46);(15,11,343.83);(15,15,190.39);(15,17,246.82);(15,19,259.91);(15,21,246.1);(16,6,102.3);(16,7,111.74);(16,8,134.56);(16,9,159.48);(17,6,78.27);(17,7,87.75);(18,4,27);(18,6,269.19);(18,7,259.7);(18,8,327.65);(18,9,344.21);	(7,4,27.87);(18,0,38.8);(18,3,35.11);	(8,7,67.85);	(7,4,27.87);(8,5,47.47);(8,6,52.94);(9,7,147.07);(9,8,148.12);(9,9,162.79);(9,10,381.57);(10,6,163.59);(10,7,168.59);(10,8,172.77);(10,9,173.47);(10,10,322.27);(10,13,273.66);(10,14,295.97);(11,3,213.86);(11,4,167.21);(11,5,195.11);(11,7,193.26);(12,4,202.55);(12,5,240.16);(12,7,223.47);(12,8,238.38);(12,9,247.23);(12,11,288.95);(12,13,282.39);(13,1,329.72);(13,2,282.39);(13,3,261.08);(13,4,303.46);(13,5,271.93);(13,6,273.34);(13,11,365.13);(13,12,350.24);(13,13,342);(13,14,311.17);(14,0,401.9);(14,1,392.86);(14,2,374.35);(14,3,329.06);(14,4,318.31);(15,8,361.59);(15,9,309.02);(15,10,314.46);(15,11,343.83);(15,15,190.39);(15,17,246.82);(15,19,259.91);(15,21,246.1);(16,6,102.3);(16,7,111.74);(16,8,134.56);(16,9,159.48);(17,6,78.27);(17,7,87.75);(18,0,38.8);(18,3,35.11);(18,4,27);(18,6,269.19);(18,7,259.7);(18,8,327.65);(18,9,344.21);
(8,3)	(8,4,26.15);(8,5,51.05);(8,6,75.88);(8,7,100.8);(9,7,134.55);(9,8,148.35);(9,9,167.69);(9,10,318.24);(10,6,145.97);(10,7,156.46);(10,8,165.73);(10,9,177.22);(10,10,264.39);(10,13,228.99);(10,14,255.84);(11,3,165.71);(11,4,135.76);(11,5,160.3);(11,6,156.17);(11,7,170.58);(12,3,204.76);(12,4,164.14);(12,5,199.74);(12,6,195.25);(12,7,196.29);(12,8,219.16);(12,9,234.31);(12,11,252.97);(12,13,248.85);(13,1,268.66);(13,2,225.8);(13,3,211.27);(13,4,260.01);(13,5,230.49);(13,6,237.52);(13,11,313.52);(13,12,295.45);(13,13,284.97);(13,14,257.11);(14,0,341.36);(14,1,334.51);(14,2,317.87);(14,3,274.32);(14,4,271.35);(15,8,299.02);(15,9,250.82);(15,10,264.21);(15,11,294.33);(15,15,148.68);(15,16,180.48);(15,17,211.47);(15,21,218.36);(16,6,103.05);(16,7,117.69);(16,8,134.62);(16,9,135.06);(17,6,90.18);(17,7,107.58);(18,3,35.6);(18,6,241.52);(18,7,238.73);(18,8,283.09);(18,9,299.62);		(8,4,26.15);(8,5,51.05);(8,6,75.88);(8,7,100.8);(9,7,134.55);(9,8,148.35);(9,9,167.69);(10,8,165.73);(10,9,177.22);(16,6,103.05);(16,7,117.69);(16,8,134.62);(17,6,90.18);(17,7,107.58);(18,3,35.6);	(9,10,318.24);(10,6,145.97);(10,7,156.46);(10,10,264.39);(10,13,228.99);(10,14,255.84);(11,3,165.71);(11,4,135.76);(11,5,160.3);(11,6,156.17);(11,7,170.58);(12,3,204.76);(12,4,164.14);(12,5,199.74);(12,6,195.25);(12,7,196.29);(12,8,219.16);(12,9,234.31);(12,11,252.97);(12,13,248.85);(13,1,268.66);(13,2,225.8);(13,3,211.27);(13,4,260.01);(13,5,230.49);(13,6,237.52);(13,11,313.52);(13,12,295.45);(13,13,284.97);(13,14,257.11);(14,0,341.36);(14,1,334.51);(14,2,317.87);(14,3,274.32);(14,4,271.35);(15,8,299.02);(15,9,250.82);(15,10,264.21);(15,11,294.33);(15,15,148.68);(15,16,180.48);(15,17,211.47);(15,21,218.36);(16,9,135.06);(18,6,241.52);(18,7,238.73);(18,8,283.09);(18,9,299.62);
(8,4)	(8,5,25.14);(8,6,50.15);(8,7,75.17);(9,7,117.34);(9,8,127.99);(9,10,327.62);(10,6,130.72);(10,7,139.67);(10,8,147.61);(10,9,156.57);(10,10,269.69);(10,13,226.59);(10,14,251.81);(11,3,164.45);(11,4,125.69);(11,5,152.2);(11,7,157.63);(12,4,157.79);(12,5,194.88);(12,7,185.59);(12,8,205.98);(12,9,219.33);(12,10,219.66);(12,11,247.27);(12,13,242.11);(13,1,276.19);(13,2,230.13);(13,3,211.41);(13,4,257.43);(13,5,226.56);(13,6,231.41);(13,11,315.73);(13,12,299.29);(13,13,289.85);(13,14,260.03);(14,0,348.56);(14,1,340.31);(14,2,322.74);(14,3,277.81);(14,4,270.6);(15,8,307.75);(15,9,256.3);(15,10,265.04);(15,11,295.28);(15,15,143.72);(15,16,179.37);(15,17,204.49);(15,21,208.45);(16,6,81.17);(16,7,95.28);(16,8,113.99);(16,9,122.04);(17,6,65.71);(17,7,82.78);(18,4,33.68);(18,6,232.22);(18,7,226.77);(18,8,281.19);(18,9,297.83);	(7,4,52.26);(8,3,26.15);(18,3,27.23);	(7,4,52.26);(8,5,25.14);(8,6,50.15);(8,7,75.17);(9,8,127.99);(10,9,156.57);(16,6,81.17);(16,7,95.28);(16,8,113.99);(17,6,65.71);(17,7,82.78);(18,3,27.23);(18,4,33.68);	(8,3,26.15);(9,7,117.34);(9,10,327.62);(10,6,130.72);(10,7,139.67);(10,8,147.61);(10,10,269.69);(10,13,226.59);(10,14,251.81);(11,3,164.45);(11,4,125.69);(11,5,152.2);(11,7,157.63);(12,4,157.79);(12,5,194.88);(12,7,185.59);(12,8,205.98);(12,9,219.33);(12,10,219.66);(12,11,247.27);(12,13,242.11);(13,1,276.19);(13,2,230.13);(13,3,211.41);(13,4,257.43);(13,5,226.56);(13,6,231.41);(13,11,315.73);(13,12,299.29);(13,13,289.85);(13,14,260.03);(14,0,348.56);(14,1,340.31);(14,2,322.74);(14,3,277.81);(14,4,270.6);(15,8,307.75);(15,9,256.3);(15,10,265.04);(15,11,295.28);(15,15,143.72);(15,16,179.37);(15,17,204.49);(15,21,208.45);(16,9,122.04);(18,6,232.22);(18,7,226.77);(18,8,281.19);(18,9,297.83);
(8,5)	(8,6,25.03);(8,7,50.06);(9,7,103.92);(9,8,110.11);(9,9,127.53);(10,6,119.33);(10,7,126.12);(10,10,277.26);(10,13,226.93);(10,14,249.89);(11,3,167.22);(11,4,120.47);(11,5,148.26);(11,7,148.23);(12,4,155.55);(12,5,193.28);(12,7,177.98);(12,8,195.16);(12,9,206.25);(12,10,203.93);(12,11,243.54);(12,13,237.32);(13,1,285.9);(13,2,237.15);(13,3,214.59);(13,4,257.05);(13,5,225.3);(13,6,227.58);(13,12,304.87);(13,13,296.76);(13,14,265.3);(14,1,347.85);(14,2,329.22);(14,3,283.39);(14,4,271.94);(15,8,318.4);(15,9,264.17);(15,10,268.12);(15,11,297.94);(15,15,143.35);(15,17,200.44);(15,21,201.08);(16,6,62.53);(16,7,75.24);(16,8,96.05);(16,9,113.61);(17,6,43.07);(17,7,59.07);(18,6,224.92);(18,7,216.74);(18,8,281.26);(18,9,297.88);	(7,4,57.41);(7,5,47.47);(8,3,51.05);(8,4,25.14);(18,0,77.13);(18,1,90.65);(18,3,37.72);(18,4,20.96);	(7,4,57.41);(7,5,47.47);(8,6,25.03);(8,7,50.06);(9,9,127.53);(16,7,75.24);(17,6,43.07);(17,7,59.07);(18,0,77.13);(18,1,90.65);(18,3,37.72);(18,4,20.96);	(8,3,51.05);(8,4,25.14);(9,7,103.92);(9,8,110.11);(10,6,119.33);(10,7,126.12);(10,10,277.26);(10,13,226.93);(10,14,249.89);(11,3,167.22);(11,4,120.47);(11,5,148.26);(11,7,148.23);(12,4,155.55);(12,5,193.28);(12,7,177.98);(12,8,195.16);(12,9,206.25);(12,10,203.93);(12,11,243.54);(12,13,237.32);(13,1,285.9);(13,2,237.15);(13,3,214.59);(13,4,257.05);(13,5,225.3);(13,6,227.58);(13,12,304.87);(13,13,296.76);(13,14,265.3);(14,1,347.85);(14,2,329.22);(14,3,283.39);(14,4,271.94);(15,8,318.4);(15,9,264.17);(15,10,268.12);(15,11,297.94);(15,15,143.35);(15,17,200.44);(15,21,201.08);(16,6,62.53);(16,8,96.05);(16,9,113.61);(18,6,224.92);(18,7,216.74);(18,8,281.26);(18,9,297.88);
(8,6)	(8,7,25.03);(9,7,95.38);(9,8,95.58);(9,9,110.86);(10,6,112.5);(10,7,116.49);(10,8,120.23);(10,9,121.47);(10,13,229.96);(10,14,250.34);(11,3,173.62);(11,4,120.38);(11,5,148.52);(11,6,139.31);(11,7,142.69);(12,4,157.33);(12,5,194.9);(12,7,173.68);(12,8,187.04);(12,9,195.43);(12,11,242.17);(12,13,234.92);(13,1,297.41);(13,2,246.51);(13,4,259);(13,5,226.75);(13,6,226.33);(13,12,312.24);(13,13,305.54);(13,14,272.74);(14,2,337.34);(14,3,290.98);(14,4,275.45);(15,9,274.09);(15,10,273.41);(15,11,302.5);(15,15,147.32);(15,17,199.44);(15,21,196.56);(16,6,49.94);(16,7,59.23);(16,8,81.99);(16,9,110.39);(17,6,25.56);(17,7,37.27);(18,6,220.06);(18,7,209.1);(18,8,283.45);(18,9,299.9);	(7,4,71.1);(7,5,52.94);(8,3,75.88);(8,4,50.15);(8,5,25.03);(18,0,88.37);(18,1,107.75);(18,3,57.65);(18,4,31.67);	(7,4,71.1);(7,5,52.94);(8,7,25.03);(17,7,37.27);(18,0,88.37);	(8,3,75.88);(8,4,50.15);(8,5,25.03);(9,7,95.38);(9,8,95.58);(9,9,110.86);(10,6,112.5);(10,7,116.49);(10,8,120.23);(10,9,121.47);(10,13,229.96);(10,14,250.34);(11,3,173.62);(11,4,120.38);(11,5,148.52);(11,6,139.31);(11,7,142.69);(12,4,157.33);(12,5,194.9);(12,7,173.68);(12,8,187.04);(12,9,195.43);(12,11,242.17);(12,13,234.92);(13,1,297.41);(13,2,246.51);(13,4,259);(13,5,226.75);(13,6,226.33);(13,12,312.24);(13,13,305.54);(13,14,272.74);(14,2,337.34);(14,3,290.98);(14,4,275.45);(15,9,274.09);(15,10,273.41);(15,11,302.5);(15,15,147.32);(15,17,199.44);(15,21,196.56);(16,6,49.94);(16,7,59.23);(16,8,81.99);(16,9,110.39);(17,6,25.56);(18,1,107.75);(18,3,57.65);(18,4,31.67);(18,6,220.06);(18,7,209.1);(18,8,283.45);(18,9,299.9);
(8,7)	(9,7,92.99);(9,9,97.81);(10,6,111.02);(10,8,112.59);(10,9,108.46);(10,13,235.63);(11,3,183.23);(11,4,125.38);(11,6,142.46);(11,7,141.43);(12,4,162.98);(12,7,172.93);(12,8,182.02);(12,9,187.35);(12,11,243.37);(12,13,235.18);(13,1,310.52);(13,2,257.98);(13,3,229.14);(13,4,263.32);(13,5,230.91);(13,6,227.83);(13,11,332.22);(13,12,321.41);(14,3,300.46);(14,4,281.16);(15,9,285.87);(15,10,280.84);(15,11,309.03);(15,15,155.26);(15,17,201.56);(15,19,201.7);(15,21,195.18);(16,6,48.26);(16,7,51.07);(16,8,73.96);(16,9,112.76);(17,6,26.55);(17,7,23.28);(18,6,217.98);(18,7,204.26);(18,8,287.8);(18,9,303.98);	(6,3,142.11);(6,4,120.46);(7,3,114.72);(7,4,89.82);(7,5,67.85);(8,3,100.8);(8,4,75.17);(8,5,50.06);(8,6,25.03);(18,0,104.51);(18,1,127.49);(18,3,80.48);(18,4,53.1);	(6,4,120.46);	(6,3,142.11);(7,3,114.72);(7,4,89.82);(7,5,67.85);(8,3,100.8);(8,4,75.17);(8,5,50.06);(8,6,25.03);(9,7,92.99);(9,9,97.81);(10,6,111.02);(10,8,112.59);(10,9,108.46);(10,13,235.63);(11,3,183.23);(11,4,125.38);(11,6,142.46);(11,7,141.43);(12,4,162.98);(12,7,172.93);(12,8,182.02);(12,9,187.35);(12,11,243.37);(12,13,235.18);(13,1,310.52);(13,2,257.98);(13,3,229.14);(13,4,263.32);(13,5,230.91);(13,6,227.83);(13,11,332.22);(13,12,321.41);(14,3,300.46);(14,4,281.16);(15,9,285.87);(15,10,280.84);(15,11,309.03);(15,15,155.26);(15,17,201.56);(15,19,201.7);(15,21,195.18);(16,6,48.26);(16,7,51.07);(16,8,73.96);(16,9,112.76);(17,6,26.55);(17,7,23.28);(18,0,104.51);(18,1,127.49);(18,3,80.48);(18,4,53.1);(18,6,217.98);(18,7,204.26);(18,8,287.8);(18,9,303.98);
